Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,World,WLD,22783812617848.4,33839629115495.6,75501151302966,77607185263724,79733153025706.7,75187841840596.7,76461546747208.8,81400670239258.9,86456888252044.3,87645255635476.5,85105603606117.1,96513077364367.9
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,20203572959.5023,20564485419.1684,20550582746.8448,19998156214.3988,18019558181.9602,18896352021.94,18418848299.5825,18904490262.913,20143442150.971,14786861638.4535
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355258.04122,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15401830754.0773,15131866270.5936,18255787479.1846
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62048562947.2509,54790392746.1939,209058991952.125,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62,163044443983.759
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,716000000,709000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1429049198.45218,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,2891022272.98687,3330281523.53915
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11228764963.2353,9129594818.60749,124998210652.243,133401582620.494,137244439121.374,87219300384.5072,49840491178.1518,68972769395.6274,77792944471.9494,69309110145.7687,53619073505.1377,67404287260.3199
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459470370.37037,826370370.37037,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148,1471125925.92593
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,447754609218.678,385540224628.292,487227339102.67
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838857.60997,1911563668.85006,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641697523.2966,13861409968.835
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764804469.273743,1873184357.5419,2615083798.88268,2727932960.89385,2791061452.51397,2963128491.62011,2983798882.68156,3092178770.94972,3202234636.87151,3368970253.05286,2610038937.56355,3126019399.06492
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,311433628318.584,415851284305.721,1546892142709.84,1576380424746.08,1467545212521.8,1350615691821.28,1206535157956.03,1326516328531.56,1428288504767.07,1392227864397.08,1326901059123.21,1552667363236.06
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386179.354,197289625479.906,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444621176100.548,435225238000.437,480368403893.364
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,5272798390.70183,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42693000000,54622176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,10720500000,10562800000,11176100000,11861900000,11834600000,12357600000,12755800000,13192800000,9699500000,11208600000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062898936.17021,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.463,53369787318.6245,133355749482.478,149990451022.29,172885454931.453,195078678697.23,265236247989.155,293754646182.389,321379023557.462,351238474244.667,373902134700.41,416264942893.326
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012131457.26644,3059500000,4610096000,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12736856827.9847,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,61371126414.1663,68205380706.6609
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,205331747947.851,236792460312.471,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543299066998.902,535830876745.097,525211810652.608,594104177539.525
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,549500000,1116000000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965243.76269,3519991326.48464,11141358105.9853,12517845127.6775,13284527850.2632,11388160997.1089,11821065852.1271,12701655845.9612,14262408079.7014,14391686309.033,15651545208.8783,17144918952.4682
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7286607000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,287658184.003427,424464089.897641,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657069.05537,2325184481.4277,2539552984.67797
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582597.52327,8397912525.26886,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.3362,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36629843805.0216,40408208528.1599
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5567405605.27555,17226849165.6813,18178503835.4491,18558343304.8433,16211541593.4222,16913330976.7547,18080118186.009,20183510863.0054,20202479537.5193,19950471170.6465,23365361635.2201
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790567051.86778,5788329609.15755,13907510005.8897,14271752527.1166,15470059201.6577,13530738157.7648,15082579073.8634,16105182316.3307,17031901441.1765,16695928792.5697,14930072458.5814,17614791265.6824
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,390725626002.866,655448188237.371,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2063507864886.88,1916947014067.55,1873274432754.47,1448559976218.19,1608981456325.08
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825759.223,14006569575.68
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20632090909.0909,13245834314.5104,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363537115.2686,68915875214.6537,70240275010.1964,84056312734.3089
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101300641.87512,2968369991.46729,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775,19737615114.3661
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,2333341374.89657,2451606684.31708,2705783272.07443,3104003611.42957,2639321161.41102,2712324133.79776,2660123597.70762,2576518846.39,2649671998.86192,2779813489.02447
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1663008687.09505,1769787215.42141,1966501117.61028,1981845740.70615,1703698676.69742,1936174043.45293
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3654031716.26881,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25872798012.1938,26961061119.7957
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,12314482085.0878,10566578952.7857,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40773241531.2395,45338283344.8175
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,744773415931.587,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,1988336331717.42
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5530377535.1014,5943589103.56414,5608989199.56798,5898449687.97711
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711395.67069,916777282.651168,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349794.23301,2220978978.17342,2221301400.72468,2326720920.59223,2516498299.01212
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.08241,1388506726.62093,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10715396135.4168,11779980801.7843
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439403014.0037,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,33113887818.957,78249883995.6255,267175872540.066,277239461340.404,259405202008.001,242496649874.236,249298719723.108,276364933679.626,295402652037.155,278584733103.01,252727193710.018,317058508651.76
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360857912565.966,1211346869605.24,8532229986993.65,9570406235659.64,10475682920594.5,11061553079876.4,11233276536737.2,12310409370892.8,13894817549374.2,14279937500606.5,14687673892882,17734062645371.4
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,47844090709.9908,99886577330.7271,370921317942.564,382116120909.218,381112110485.385,293481753078.868,282825012368.255,311883730442.045,334198218100.719,323109540251.855,270299984937.97,314464137241.33
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,429622147.743446,351136568.441921,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1195019559.09381,1225039230.74083,1296089632.60039
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,9349764580.41173,19088046305.7971,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47568210068.5136,51775830725.8441,48716960860.0664,55350968593.0597
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58236,3227927697.43665,17692912613.1633,17958721571.7526,17912908765.9058,11890259136.1098,10219341276.8965,11094822713.3481,13670036996.0023,12750339022.9915,10483151175.8451,13366230219.5352
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,5711687786.75989,15013629658.6521,47231651862.8399,50949672205.9168,52016408950.8936,56441917652.9812,58847016044.7363,60516043590.1832,62420165099.7231,64417670082.6127,62158002233.0279,64282438666.739
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850106.9547,16577533355.4395,36302305578.2487,42760237561.4396,48843008580.3288,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017,70043191477.0454
