"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9344988016484","41.1341869360313","41.3340188492998","41.5074015155352","41.6837898986698","41.9146184127261","42.1238861027565","42.3394408650902","42.5667622308702","42.8103583852088","43.0591986328621","43.0517012228859","43.3274405377981","43.6240272160965","43.9481881488131","44.3125671626099","44.6167674072528","44.9303012765042","45.1597136223069","45.3088979765491","45.2603011051842","",
"Afghanistan","AFG","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.86371867","30.86371867","32.39546458","33.92721049","35.4589564","36.99070231","38.52244822","40.40061289","42.30527293","44.23642836","46.19407916","48.17822534","50.1888669","52.22600383","54.28963615","56.37976384","58.49638691","60.63950536","62.80911918","65.00522839","66.70919426","",
"Africa Western and Central","AFW","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6356229578629","31.9174236061471","32.6125083052263","33.3526424864835","34.1153331051788","34.9148319454935","35.7315097953233","36.5588867911821","37.3977166105503","38.254921857884","39.1250039773245","40.0078806250056","40.9031676212519","41.8105969241383","42.7307878663468","43.654504570415","44.5839241599973","45.5225300814176","46.2966768547206","47.212154275134","48.1021901219734","",
"Angola","AGO","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5144549","48.50334872","49.49224253","50.48113635","51.47003017","52.45892399","53.4478178","54.43671162","55.42560544","56.41449926","57.40339308","58.39228689","59.38118071","60.37007453","61.35896835","62.34786216","63.33675598","64.3256498","65.31454362","65.31454362","65.31454362","",
"Albania","ALB","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.93201202","96.97375913","97.01550624","97.05725335","97.09900045","97.2365377","97.37415728","97.51185919","97.64964343","97.78751001","97.92545892","98.06349017","98.20160375","98.33979966","98.47807791","98.61643849","98.7548814","98.89340664","99.03201422","99.17070413","99.30947638","",
"Andorra","AND","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6464128081005","84.7248118440414","84.8912649808322","85.0353350029188","85.1866444208223","85.5911345952677","86.0466382569212","86.615605411758","87.0091146629392","87.3889367085926","87.7909195418137","88.2165180652952","88.6070425526431","88.9963033524284","89.3933729166793","89.7789475192543","90.1652004363006","90.4113243845601","90.5631611264863","90.5793111288385","90.6416909337196","",
"United Arab Emirates","ARE","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","People using at least basic sanitation services, urban (% of urban population)","SH.STA.BASS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.47397644","89.9441857","90.41542849","90.88770482","91.36101469","91.83535809","92.31073502","92.78714549","93.2645895","93.74306704","94.22257811","94.70312272","95.18470087","95.66731254","96.15095776","96.63563651","97.12134879","97.44752134","97.64239372","97.83713279","98.75099299","",
