Country Name,Country Code,Year,Value
Arab World,ARB,1962,-502251
Arab World,ARB,1967,-841024
Arab World,ARB,1972,-870418
Arab World,ARB,1977,1830706
Arab World,ARB,1982,562853
Arab World,ARB,1987,-594845
Arab World,ARB,1992,-510510
Arab World,ARB,1997,-1852228
Arab World,ARB,2002,-25472
Arab World,ARB,2007,4152627
Arab World,ARB,2012,608774
Caribbean small states,CSS,1962,-261752
Caribbean small states,CSS,1967,-298953
Caribbean small states,CSS,1972,-281348
Caribbean small states,CSS,1977,-271658
Caribbean small states,CSS,1982,-272660
Caribbean small states,CSS,1987,-343135
Caribbean small states,CSS,1992,-223696
Caribbean small states,CSS,1997,-207745
Caribbean small states,CSS,2002,-159808
Caribbean small states,CSS,2007,-142162
Caribbean small states,CSS,2012,-120217
Central Europe and the Baltics,CEB,1962,81694
Central Europe and the Baltics,CEB,1967,-200621
Central Europe and the Baltics,CEB,1972,-123404
Central Europe and the Baltics,CEB,1977,-129100
Central Europe and the Baltics,CEB,1982,-321864
Central Europe and the Baltics,CEB,1987,-657287
Central Europe and the Baltics,CEB,1992,-1411284
Central Europe and the Baltics,CEB,1997,-1035788
Central Europe and the Baltics,CEB,2002,-804567
Central Europe and the Baltics,CEB,2007,-993491
Central Europe and the Baltics,CEB,2012,-553383
Early-demographic dividend,EAR,1962,-1277858
Early-demographic dividend,EAR,1967,-2446016
Early-demographic dividend,EAR,1972,-3543888
Early-demographic dividend,EAR,1977,-5138430
Early-demographic dividend,EAR,1982,1273870
Early-demographic dividend,EAR,1987,-1999721
Early-demographic dividend,EAR,1992,-7943535
Early-demographic dividend,EAR,1997,-8427825
Early-demographic dividend,EAR,2002,-13834276
Early-demographic dividend,EAR,2007,-13852309
Early-demographic dividend,EAR,2012,-11500387
East Asia & Pacific,EAS,1962,-698627
East Asia & Pacific,EAS,1967,1286960
East Asia & Pacific,EAS,1972,-383013
East Asia & Pacific,EAS,1977,-1115437
East Asia & Pacific,EAS,1982,161499
East Asia & Pacific,EAS,1987,318516
East Asia & Pacific,EAS,1992,-1986386
East Asia & Pacific,EAS,1997,-292173
East Asia & Pacific,EAS,2002,-3492334
East Asia & Pacific,EAS,2007,-4699823
East Asia & Pacific,EAS,2012,-1248301
East Asia & Pacific (excluding high income),EAP,1962,-1290120
East Asia & Pacific (excluding high income),EAP,1967,-871549
East Asia & Pacific (excluding high income),EAP,1972,-1305615
East Asia & Pacific (excluding high income),EAP,1977,-1526815
East Asia & Pacific (excluding high income),EAP,1982,-700822
East Asia & Pacific (excluding high income),EAP,1987,-657805
East Asia & Pacific (excluding high income),EAP,1992,-2868246
East Asia & Pacific (excluding high income),EAP,1997,-1160763
East Asia & Pacific (excluding high income),EAP,2002,-5197875
East Asia & Pacific (excluding high income),EAP,2007,-6826251
East Asia & Pacific (excluding high income),EAP,2012,-3400344
East Asia & Pacific (IDA & IBRD countries),TEA,1962,-1290120
East Asia & Pacific (IDA & IBRD countries),TEA,1967,-871549
East Asia & Pacific (IDA & IBRD countries),TEA,1972,-1305615
East Asia & Pacific (IDA & IBRD countries),TEA,1977,-1526815
East Asia & Pacific (IDA & IBRD countries),TEA,1982,-700822
East Asia & Pacific (IDA & IBRD countries),TEA,1987,-657805
East Asia & Pacific (IDA & IBRD countries),TEA,1992,-2868246
East Asia & Pacific (IDA & IBRD countries),TEA,1997,-1146831
East Asia & Pacific (IDA & IBRD countries),TEA,2002,-5180685
East Asia & Pacific (IDA & IBRD countries),TEA,2007,-6801570
East Asia & Pacific (IDA & IBRD countries),TEA,2012,-3373331
Euro area,EMU,1962,846518
Euro area,EMU,1967,71860
Euro area,EMU,1972,2304989
Euro area,EMU,1977,1510813
Euro area,EMU,1982,719828
Euro area,EMU,1987,2468930
Euro area,EMU,1992,4312541
Euro area,EMU,1997,3014725
Euro area,EMU,2002,6731514
Euro area,EMU,2007,4671862
Euro area,EMU,2012,1929664
Europe & Central Asia,ECS,1962,1216313
Europe & Central Asia,ECS,1967,313930
Europe & Central Asia,ECS,1972,1770947
Europe & Central Asia,ECS,1977,1152439
Europe & Central Asia,ECS,1982,519227
Europe & Central Asia,ECS,1987,1059606
Europe & Central Asia,ECS,1992,1736987
Europe & Central Asia,ECS,1997,995887
Europe & Central Asia,ECS,2002,7561840
Europe & Central Asia,ECS,2007,7973917
Europe & Central Asia,ECS,2012,5164543
Europe & Central Asia (excluding high income),ECA,1962,-127364
Europe & Central Asia (excluding high income),ECA,1967,319679
Europe & Central Asia (excluding high income),ECA,1972,-551114
Europe & Central Asia (excluding high income),ECA,1977,-305432
Europe & Central Asia (excluding high income),ECA,1982,37086
Europe & Central Asia (excluding high income),ECA,1987,-1459778
Europe & Central Asia (excluding high income),ECA,1992,-3264491
Europe & Central Asia (excluding high income),ECA,1997,-2812650
Europe & Central Asia (excluding high income),ECA,2002,-507109
Europe & Central Asia (excluding high income),ECA,2007,305794
Europe & Central Asia (excluding high income),ECA,2012,1256956
Europe & Central Asia (IDA & IBRD countries),TEC,1962,-189908
Europe & Central Asia (IDA & IBRD countries),TEC,1967,176565
Europe & Central Asia (IDA & IBRD countries),TEC,1972,-722017
Europe & Central Asia (IDA & IBRD countries),TEC,1977,-412027
Europe & Central Asia (IDA & IBRD countries),TEC,1982,-82107
Europe & Central Asia (IDA & IBRD countries),TEC,1987,-1764751
Europe & Central Asia (IDA & IBRD countries),TEC,1992,-3424490
Europe & Central Asia (IDA & IBRD countries),TEC,1997,-2897849
Europe & Central Asia (IDA & IBRD countries),TEC,2002,-690580
Europe & Central Asia (IDA & IBRD countries),TEC,2007,127338
Europe & Central Asia (IDA & IBRD countries),TEC,2012,1182959
European Union,EUU,1962,1054274
European Union,EUU,1967,-126278
European Union,EUU,1972,2204335
European Union,EUU,1977,1393682
European Union,EUU,1982,205535
European Union,EUU,1987,1986242
European Union,EUU,1992,3689846
European Union,EUU,1997,2754173
European Union,EUU,2002,7257129
European Union,EUU,2007,6281070
European Union,EUU,2012,2939221
Fragile and conflict affected situations,FCS,1962,-148583
Fragile and conflict affected situations,FCS,1967,-290076
Fragile and conflict affected situations,FCS,1972,-567119
Fragile and conflict affected situations,FCS,1977,224319
Fragile and conflict affected situations,FCS,1982,-4716726
Fragile and conflict affected situations,FCS,1987,-5350030
Fragile and conflict affected situations,FCS,1992,1144664
Fragile and conflict affected situations,FCS,1997,-2992398
Fragile and conflict affected situations,FCS,2002,-1421499
Fragile and conflict affected situations,FCS,2007,-3607175
Fragile and conflict affected situations,FCS,2012,-4754098
Heavily indebted poor countries (HIPC),HPC,1962,-331391
Heavily indebted poor countries (HIPC),HPC,1967,-322223
Heavily indebted poor countries (HIPC),HPC,1972,-1163002
Heavily indebted poor countries (HIPC),HPC,1977,-2980487
Heavily indebted poor countries (HIPC),HPC,1982,-4907160
Heavily indebted poor countries (HIPC),HPC,1987,-2527702
Heavily indebted poor countries (HIPC),HPC,1992,2721675
Heavily indebted poor countries (HIPC),HPC,1997,-2624944
Heavily indebted poor countries (HIPC),HPC,2002,-1306201
Heavily indebted poor countries (HIPC),HPC,2007,-3965036
Heavily indebted poor countries (HIPC),HPC,2012,-2838760
High income,HIC,1962,4236206
High income,HIC,1967,4489669
High income,HIC,1972,7769421
High income,HIC,1977,7587512
High income,HIC,1982,6798831
High income,HIC,1987,8858526
High income,HIC,1992,11221842
High income,HIC,1997,14474528
High income,HIC,2002,18205159
High income,HIC,2007,22406712
High income,HIC,2012,15891250
IBRD only,IBD,1962,-3710366
IBRD only,IBD,1967,-3562542
IBRD only,IBD,1972,-3012755
IBRD only,IBD,1977,-4415354
IBRD only,IBD,1982,-1355497
IBRD only,IBD,1987,-4927499
IBRD only,IBD,1992,-10145278
IBRD only,IBD,1997,-8504371
IBRD only,IBD,2002,-11408152
IBRD only,IBD,2007,-10288496
IBRD only,IBD,2012,-3237758
IDA & IBRD total,IBT,1962,-4114324
IDA & IBRD total,IBT,1967,-4226337
IDA & IBRD total,IBT,1972,-7859798
IDA & IBRD total,IBT,1977,-7620066
IDA & IBRD total,IBT,1982,-6770284
IDA & IBRD total,IBT,1987,-9223545
IDA & IBRD total,IBT,1992,-11366624
IDA & IBRD total,IBT,1997,-14561952
IDA & IBRD total,IBT,2002,-18212513
IDA & IBRD total,IBT,2007,-22259417
IDA & IBRD total,IBT,2012,-15734793
IDA blend,IDB,1962,100533
IDA blend,IDB,1967,183472
IDA blend,IDB,1972,-176691
IDA blend,IDB,1977,1282874
IDA blend,IDB,1982,588927
IDA blend,IDB,1987,-371661
IDA blend,IDB,1992,-1676525
IDA blend,IDB,1997,-1701447
IDA blend,IDB,2002,-1456447
IDA blend,IDB,2007,-2465799
IDA blend,IDB,2012,-2040210
IDA only,IDX,1962,-504491
IDA only,IDX,1967,-847267
IDA only,IDX,1972,-4670352
IDA only,IDX,1977,-4487586
IDA only,IDX,1982,-6003714
IDA only,IDX,1987,-3924385
IDA only,IDX,1992,455179
IDA only,IDX,1997,-4356134
IDA only,IDX,2002,-5347914
IDA only,IDX,2007,-9505122
IDA only,IDX,2012,-10456825
IDA total,IDA,1962,-403958
IDA total,IDA,1967,-663795
IDA total,IDA,1972,-4847043
IDA total,IDA,1977,-3204712
IDA total,IDA,1982,-5414787
IDA total,IDA,1987,-4296046
IDA total,IDA,1992,-1221346
IDA total,IDA,1997,-6057581
IDA total,IDA,2002,-6804361
IDA total,IDA,2007,-11970921
IDA total,IDA,2012,-12497035
Late-demographic dividend,LTE,1962,-2619681
Late-demographic dividend,LTE,1967,-1908084
Late-demographic dividend,LTE,1972,-2416541
Late-demographic dividend,LTE,1977,-1567437
Late-demographic dividend,LTE,1982,-1320775
Late-demographic dividend,LTE,1987,-1829528
