Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,World,WLD,..,3.85399007797241,4.21035480499268,4.43129992485047,4.39989495277404,4.38715648651123,4.25407981872559,4.08553981781006,4.21256995201111,4.09531021118164,4.33204984664917,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan,AFG,..,..,3.3199999332428,3.45445990562439,3.69521999359131,3.2558000087738,3.5119800567627,3.37331008911133,3.19979000091553,3.21377992630005,2.86085939407349,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania,ALB,..,3.4301700592041,2.9300000667572,3.53929996490479,3.04999995231628,3.43796992301941,3.96209001541138,3.61173009872437,3.15490126609802,3.91665005683899,3.09999990463257,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria,DZA,..,..,7.63759708404541,7.29229640960693,7.31870079040527,7.96296739578247,7.34435987472534,6.50538015365601,5.8663501739502,6.10035991668701,7.04239749908447,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,AND,..,..,..,2.50616002082825,3.07420992851257,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,..,2.88000011444092
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,..,2.60753011703491,3.08190989494324,4.4389500617981,3.12292003631592,3.48690009117126,2.75494003295898,2.46688008308411,2.04469990730286,1.92745995521545,2.41519999504089,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,2.48524761199951,2.60647583007813,2.70147109031677,2.84073400497437,2.43079996109009,2.44847989082336,2.64407992362976,2.83134007453918,3.45311999320984,3.8362500667572
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Argentina,ARG,1.06737995147705,4.58030986785889,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.72417020797729,5.01604986190796,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Armenia,ARM,..,2.77273011207581,2.77248001098633,2.65018010139465,2.24724006652832,2.80591011047363,2.75812005996704,2.70759010314941,2.25587010383606,2.56185007095337,2.70567011833191,2.77138996124268
